Wavelength(nm),Var#1(21sec)
783.527,1.13E+08
783.9,9.56E+07
784.272,1.46E+08
784.645,1.41E+08
785.018,1.44E+08
785.391,5.40E+07
785.763,2.01E+08
786.136,8.40E+07
786.509,1.02E+08
786.882,1.16E+08
787.254,1.46E+08
787.627,6.28E+07
788,8.46E+07
788.372,1.42E+08
788.745,1.48E+08
789.118,7.90E+07
789.49,9.42E+07
789.863,5.79E+06
790.236,1.22E+08
790.608,9.31E+07
790.981,9.12E+07
791.354,1.36E+07
791.726,4.52E+07
792.099,1.51E+08
792.471,1.01E+08
792.844,1.28E+08
793.217,6.50E+07
793.589,8.73E+07
793.962,1.76E+08
794.335,4.32E+07
794.707,7.14E+07
795.08,1.18E+08
795.453,1.40E+08
795.826,1.20E+08
796.198,1.72E+08
796.571,1.20E+08
796.944,1.27E+08
797.316,1.40E+08
797.689,7.83E+07
798.062,1.41E+08
798.435,1.29E+08
798.808,8.03E+07
799.18,1.36E+08
799.553,1.90E+08
799.926,1.16E+08
800.299,6.04E+07
800.672,1.26E+08
801.045,1.52E+06
801.418,7.66E+07
801.791,1.97E+08
802.164,1.24E+08
802.537,1.50E+07
802.91,1.15E+08
803.283,1.08E+08
803.656,1.70E+08
804.029,1.72E+08
804.402,1.11E+08
804.775,6.23E+07
805.148,1.41E+08
805.521,1.10E+08
805.895,1.58E+08
806.268,1.55E+08
806.641,1.24E+08
807.015,1.21E+08
807.388,1.66E+08
807.761,1.06E+08
808.135,1.80E+08
808.508,1.62E+08
808.882,1.04E+08
809.255,6.66E+07
809.629,2.21E+08
810.003,9.36E+07
810.376,1.38E+08
810.75,1.21E+08
811.124,8.61E+07
811.497,1.29E+08
811.871,1.18E+08
812.245,2.35E+08
812.619,1.69E+08
812.993,1.54E+08
813.367,2.05E+08
813.741,1.68E+08
814.115,8.88E+07
814.489,3.14E+08
814.863,9.14E+07
815.238,2.72E+08
815.612,1.75E+08
815.986,1.11E+08
816.361,1.52E+08
816.735,1.60E+08
817.11,2.39E+08
817.484,2.57E+08
817.859,1.64E+08
818.234,2.26E+08
818.608,1.85E+08
818.983,1.01E+08
819.358,1.32E+08
819.733,1.62E+08
820.108,1.83E+08
820.483,1.69E+08
820.858,1.52E+08
821.233,2.10E+08
821.608,2.22E+08
821.983,1.64E+08
822.359,2.26E+08
822.734,2.40E+08
823.109,2.70E+08
823.485,1.91E+08
823.861,1.89E+08
824.236,2.17E+08
824.612,3.26E+08
824.988,2.28E+08
825.363,1.79E+08
825.739,1.80E+08
826.115,1.49E+08
826.491,1.77E+08
826.867,1.65E+08
827.244,2.83E+08
827.62,1.90E+08
827.996,2.96E+08
828.373,2.20E+08
828.749,2.84E+08
829.126,2.51E+08
829.502,2.42E+08
829.879,2.35E+08
830.255,2.62E+08
830.632,2.11E+08
831.009,1.96E+08
831.386,2.32E+08
831.763,1.81E+08
832.14,2.27E+08
832.517,3.03E+08
832.895,2.58E+08
833.272,4.21E+08
833.649,1.66E+08
834.027,2.95E+08
834.404,2.47E+08
834.782,3.33E+08
835.16,2.56E+08
835.538,3.14E+08
835.915,4.11E+08
836.293,2.49E+08
836.671,4.07E+08
837.049,3.15E+08
837.428,2.77E+08
837.806,2.56E+08
838.184,3.08E+08
838.562,3.15E+08
838.941,3.58E+08
839.319,3.88E+08
839.698,4.13E+08
840.077,2.97E+08
840.455,2.44E+08
840.834,3.29E+08
841.213,4.14E+08
841.592,2.84E+08
841.971,2.98E+08
842.35,3.65E+08
842.73,4.54E+08
843.109,4.55E+08
843.488,2.52E+08
843.868,4.07E+08
844.247,2.90E+08
